ward,street_number,street_name,street_type,quadrant,square_suffix_lot,full_address
6,1142,5TH,ST,NE,0805 0060,"1142 5TH ST NE Washington, DC"
6,1034,5TH,ST,NE,0806 0807,"1034 5TH ST NE Washington, DC"
6,1026,5TH,ST,NE,0806 0811,"1026 5TH ST NE Washington, DC"
6,410,K,ST,NE,0806 0818,"410 K ST NE Washington, DC"
6,515,M,ST,NE,0829 0039,"515 M ST NE Washington, DC"
6,1010,6TH,ST,NE,0830 0055,"1010 6TH ST NE Washington, DC"
6,512,H,ST,NE,0832 0013,"512 H ST NE Washington, DC"
6,529,G,ST,SE,0847 0810,"529 G ST SE Washington, DC"
6,622,I,ST,NE,0857 0032,"622 I ST NE Washington, DC"
6,1112,8TH,ST,NE,0886 0064,"1112 8TH ST NE Washington, DC"
6,715,K,ST,NE,0888 0029,"715 K ST NE Washington, DC"
6,710,H,ST,NE,0889 0007,"710 H ST NE Washington, DC"
6,807,7TH,ST,NE,0889 0016,"807 7TH ST NE Washington, DC"
6,816,8TH,ST,NE,0889 0029,"816 8TH ST NE Washington, DC"
6,820,8TH,ST,NE,0889 0038,"820 8TH ST NE Washington, DC"
6,716,A,ST,NE,0896 0810,"716 A ST NE Washington, DC"
6,1010,9TH,ST,NE,0909 0808,"1010 9TH ST NE Washington, DC"
6,625,8TH,ST,NE,0913 0814,"625 8TH ST NE Washington, DC"
6,813,G,ST,NE,0913 0829,"813 G ST NE Washington, DC"
6,330,9TH,ST,NE,0916 0817,"330 9TH ST NE Washington, DC"
6,916-918,H,ST,NE,0933 0801,"916-918 H ST NE Washington, DC"
6,102,9TH,ST,SE,0943 0801,"102 9TH ST SE Washington, DC"
6,231,10TH,ST,SE,0944 0040,"231 10TH ST SE Washington, DC"
6,910,G,ST,SE,0949 0057,"910 G ST SE Washington, DC"
6,1014,K,ST,NE,0956 0014,"1014 K ST NE Washington, DC"
6,1000,C,ST,NE,0963 0803,"1000 C ST NE Washington, DC"
6,114,11TH,ST,NE,0965 0052,"114 11TH ST NE Washington, DC"
6,1010,G,ST,SE,0973 0054,"1010 G ST SE Washington, DC"
6,1111,H,ST,NE,0982 0057,"1111 H ST NE Washington, DC"
6,935,12TH,ST,NE,1002 0107,"935 12TH ST NE Washington, DC"
6,833,12TH,ST,NE,1002 0108,"833 12TH ST NE Washington, DC"
