project_name,start_date,end_date,dslbd_proposed_budget,dslbd_approved_budget,non-dslbd_budget,total_proposed_project_costs,total_amount_submitted_by_grantee,total_cbe_expense_amount,approved_expenses,remaining_dslbd_funds_ytd,add_expense,year,proposal_number,org_code
Annual Report,2015-01-01 00:00:00,2015-03-27 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=374&z=bh88,2015,29,SMS
Marketing & Promotion ,2015-10-01 00:00:00,2016-09-30 00:00:00,7000.0,7000.0,0,7000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=470&z=bh9z,2016,34,HSMS
Training/NMSC conference,2015-10-01 00:00:00,2016-09-30 00:00:00,3000.0,3000.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=472&z=bh9z,2016,34,HSMS
Technical Assistance,2015-10-01 00:00:00,2016-09-30 00:00:00,10000.0,10000.0,0,10000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=471&z=bh9z,2016,34,HSMS
Main Streets Operations (Ed Salary),2015-10-01 00:00:00,2016-09-30 00:00:00,37500.0,37500.0,0,37500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=469&z=bh9z,2016,34,HSMS
Business Needs Assessments & Planning,2015-10-01 00:00:00,2016-09-30 00:00:00,10000.0,10000.0,0,10000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=465&z=bh9z,2016,34,HSMS
Audit,2015-10-01 00:00:00,2016-09-30 00:00:00,7000.0,7000.0,0,7000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=466&z=bh9z,2016,34,HSMS
H Street Festival,2015-10-01 00:00:00,2016-09-30 00:00:00,20500.0,20500.0,0,20500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=467&z=bh9z,2016,34,HSMS
Storefront Improvement,2015-10-01 00:00:00,2016-09-30 00:00:00,30000.0,30000.0,0,30000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=468&z=bh9z,2016,34,HSMS
Annual Report,2016-05-01 00:00:00,2016-07-30 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=394&z=bh96,2016,35,HDCMS
